51	75
51	76
52	75
52	76
53	75
53	76
51	74
51	77
52	74
52	77
53	74
53	77
75	50
76	50
51	73
51	22
52	22
52	21
20	77
18	0
19	0
18	52
19	52
20	52
74	50
77	50
72	27
72	28
73	50
78	27
78	28
0	17
1	89
2	89
3	89
4	89
5	89
3	25
4	25
89	6
2	88
89	7
89	8
89	11
3	23
4	23
4	24
87	6
87	25
81	27
81	28
87	26
87	27
87	8
87	11
87	12
80	27
80	28
90	11
49	70
50	69
50	70
54	70
55	69
55	70
56	70
48	22
49	22
50	22
56	36
68	59
70	59
68	58
70	57
70	58
16	45
16	46
16	47
45	15
21	48
37	14
35	60
36	60
37	60
35	61
36	61
36	57
36	58
27	79
28	63
28	79
29	63
29	79
33	63
33	79
26	84
27	82
27	84
27	85
28	82
28	84
28	85
29	82
29	84
29	85
33	82
33	84
33	85
26	61
28	61
28	62
29	61
29	62
29	64
33	61
33	62
33	64
33	65
33	66
28	83
28	86
29	83
29	86
33	83
33	86
63	71
13	37
9	40
14	40
9	41
14	41
14	38
14	39
30	84
30	85
85	34
30	61
30	62
31	61
11	91
12	91
12	85
38	60
43	60
44	60
61	32
61	34
62	32
62	34
64	34
65	32
65	34
67	34
41	10
10	40
10	42
